State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Bihar,Jhanjharpur,602391,56.8,Janata Dal (United),Ramprit Mandal,25.11,85.32
Bihar,Karakat,398408,45.86,Janata Dal (United),MAHABALI SINGH,25.11,85.32
Bihar,Katihar,559423,50.05,Janata Dal (United),DULAL CHANDRA GOSWAMI,25.11,85.32
Bihar,Khagaria,510193,52.77,Lok Jan Shakti Party,Choudhary Mehboob Ali Kaiser,25.11,85.32
Bihar,Kishanganj,367017,33.32,Indian National Congress,Dr. Mohammad Jawed,25.11,85.32
Bihar,Madhepura,624334,54.42,Janata Dal (United),Dinesh Chandra Yadav,25.11,85.32
Bihar,Madhubani,595843,61.83,Bharatiya Janata Party,ASHOK KUMAR YADAV,25.11,85.32
Bihar,Maharajganj,546352,56.17,Bharatiya Janata Party,"Janardan Singh 'Sigriwal""",25.11,85.32
Bihar,Munger,528762,51.03,Janata Dal (United),RAJIV RANJAN SINGH ALIAS LALAN SINGH,25.11,85.32
Bihar,Muzaffarpur,666878,63.03,Bharatiya Janata Party,Ajay Nishad,25.11,85.32
Bihar,Nalanda,540888,52.45,Janata Dal (United),Kaushlendra Kumar,25.11,85.32
Bihar,Nawada,495684,52.59,Lok Jan Shakti Party,Chandan Singh,25.11,85.32
Bihar,Paschim Champaran,603706,59.6,Bharatiya Janata Party,DR. SANJAY JAISWAL,25.11,85.32
Bihar,Pataliputra,509557,47.28,Bharatiya Janata Party,RAM KRIPAL YADAV,25.11,85.32
Bihar,Patna Sahib,607506,61.85,Bharatiya Janata Party,RAVI SHANKAR PRASAD,25.11,85.32
Bihar,Purnia,632924,54.85,Janata Dal (United),SANTOSH KUMAR,25.11,85.32
Bihar,Purvi Champaran,577787,57.81,Bharatiya Janata Party,RADHA MOHAN SINGH,25.11,85.32
Bihar,Samastipur (SC),562443,55.19,Lok Jan Shakti Party,Ramchandra Paswan,25.11,85.32
Bihar,Saran,499342,53.03,Bharatiya Janata Party,Rajiv Pratap Rudy,25.11,85.32
Bihar,Sasaram (SC),494800,50.76,Bharatiya Janata Party,CHHEDI PASWAN,25.11,85.32
Bihar,Sheohar,608678,60.59,Bharatiya Janata Party,RAMA DEVI,25.11,85.32
Bihar,Sitamarhi,567745,54.65,Janata Dal (United),Sunil Kumar Pintu,25.11,85.32
Bihar,Siwan,448473,45.54,Janata Dal (United),Kavita Singh,25.11,85.32
Bihar,Supaul,597377,53.78,Janata Dal (United),Dileshwar Kamait,25.11,85.32
Bihar,Ujiarpur,543906,56.11,Bharatiya Janata Party,Nityanand Rai,25.11,85.32
Bihar,Vaishali,568215,52.87,Lok Jan Shakti Party,Veena Devi (W/o Dinesh Prasad Singh),25.11,85.32
Bihar,Valmiki Nagar,602660,58.39,Janata Dal (United),BAIDYANATH PRASAD MAHTO,25.11,85.32
Chandigarh,CHANDIGARH,231188,50.64,Bharatiya Janata Party,KIRRON KHER,30.73722,76.78722
Chhattisgarh,BASTAR,402527,44.1,Indian National Congress,DEEPAK BAIJ,21.2,82
Chhattisgarh,BILASPUR,634559,52.47,Bharatiya Janata Party,ARUN SAO,21.2,82
Chhattisgarh,DURG,849374,61.02,Bharatiya Janata Party,VIJAY BAGHEL,21.2,82
Chhattisgarh,JANJGIR-CHAMPA,572790,45.91,Bharatiya Janata Party,GUHARAM AJGALLEY,21.2,82
Chhattisgarh,KANKER,546233,47.12,Bharatiya Janata Party,MOHAN MANDAVI,21.2,82
Chhattisgarh,KORBA,523410,46.03,Indian National Congress,JYOTSNA CHARANDAS MAHANT,21.2,82
Chhattisgarh,MAHASAMUND,616580,50.44,Bharatiya Janata Party,CHUNNI LAL SAHU,21.2,82
Chhattisgarh,RAIGARH,658335,48.76,Bharatiya Janata Party,GOMATI SAI,21.2,82
Chhattisgarh,RAIPUR,837902,60.01,Bharatiya Janata Party,Sunil Kumar Soni,21.2,82
Chhattisgarh,RAJNANDGAON,662387,50.68,Bharatiya Janata Party,SANTOSH PANDEY,21.2,82
Chhattisgarh,SARGUJA,663711,51.82,Bharatiya Janata Party,Renuka Singh Saruta,21.2,82
Dadra & Nagar Haveli,Dadra And Nagar Haveli,90421,45.44,Independent,DELKAR MOHANBHAI SANJIBHAI,30.7,76.9
Daman & Diu,Daman & diu,37597,42.98,Bharatiya Janata Party,LALUBHAI BABUBHAI PATEL,20.4166666,72.8833333
Goa,North Goa,244844,57.12,Bharatiya Janata Party,SHRIPAD YESSO NAIK,28.6333333,72.2
Goa,South Goa,201561,47.47,Indian National Congress,COSME FRANCISCO CAITANO SARDINHA,28.6333333,72.2
Gujarat,Ahmedabad East,749834,67.17,Bharatiya Janata Party,Patel Hasmukhbhai Somabhai,23,72
Gujarat,Ahmedabad West,641622,64.35,Bharatiya Janata Party,DR. KIRIT P. SOLANKI,23,72
Gujarat,Amreli,529035,58.19,Bharatiya Janata Party,Kachhadiya Naranbhai Bhikhabhai,23,72
Gujarat,Anand,633097,57.1,Bharatiya Janata Party,PATEL MITESH RAMESHBHAI (BAKABHAI),23,72
Gujarat,Banaskantha,679108,61.62,Bharatiya Janata Party,PARBATBHAI SAVABHAI PATEL,23,72
Gujarat,Bardoli,742273,55.06,Bharatiya Janata Party,PARBHUBHAI NAGARBHAI VASAVA,23,72
Gujarat,Bharuch,637795,55.47,Bharatiya Janata Party,Mansukhbhai Dhanjibhai Vasava,23,72
Gujarat,Bhavnagar,661273,63.51,Bharatiya Janata Party,DR.BHARATIBEN DHIRUBHAI SHIYAL,23,72
Gujarat,Chhota Udaipur,764445,62.03,Bharatiya Janata Party,RATHVA GITABEN VAJESINGBHAI,23,72
Gujarat,Dahod,561760,52.84,Bharatiya Janata Party,JASHVANTSINH SUMANBHAI BHABHOR,23,72
Gujarat,Gandhinagar,894624,69.67,Bharatiya Janata Party,AMIT SHAH,23,72
Gujarat,Jamnagar,591588,58.52,Bharatiya Janata Party,POONAMBEN HEMATBHAI MAADAM,23,72
Gujarat,Junagadh,547952,54.51,Bharatiya Janata Party,CHUDASAMA RAJESHBHAI NARANBHAI,23,72
Gujarat,Kachchh,637034,62.26,Bharatiya Janata Party,CHAVDA VINOD LAKHAMSHI,23,72
Gujarat,Kheda,714572,65.04,Bharatiya Janata Party,Chauhan Devusinh,23,72
Gujarat,Mahesana,659525,60.96,Bharatiya Janata Party,SHARDABEN ANILBHAI PATEL,23,72
Gujarat,Navsari,972739,74.37,Bharatiya Janata Party,C. R. Patil,23,72
Gujarat,Panchmahal,732136,67.56,Bharatiya Janata Party,Ratansinh Magansinh Rathod,23,72
Gujarat,Patan,633368,56.24,Bharatiya Janata Party,DABHI BHARATSINHJI SHANKARJI,23,72
Gujarat,Porbandar,563881,59.36,Bharatiya Janata Party,RAMESHBHAI LAVJIBHAI DHADUK,23,72
Gujarat,Rajkot,758645,63.47,Bharatiya Janata Party,KUNDARIA MOHANBHAI KALYANJIBHAI,23,72
Gujarat,Sabarkantha,701984,57.62,Bharatiya Janata Party,RATHOD DIPSINH SHANKARSINH,23,72
Gujarat,Surat,795651,74.47,Bharatiya Janata Party,Darshana Vikram Jardosh,23,72
Gujarat,Surendranagar,631844,58.63,Bharatiya Janata Party,Dr. MUNJAPARA MAHENDRABHAI,23,72
Gujarat,Vadodara,883719,72.3,Bharatiya Janata Party,RANJANBEN BHATT,23,72
Gujarat,Valsad,771980,61.25,Bharatiya Janata Party,Dr.K.C.PATEL,23,72
Haryana,Ambala,746508,56.72,Bharatiya Janata Party,RATTAN LAL KATARIA,30.3,74.6
Haryana,Bhiwani-Mahendragarh,736699,63.45,Bharatiya Janata Party,Dharambir Singh S/o Bhale Ram,30.3,74.6
Haryana,Faridabad,913222,68.8,Bharatiya Janata Party,KRISHAN PAL,30.3,74.6
Haryana,Gurgaon,881546,60.94,Bharatiya Janata Party,RAO INDERJIT SINGH,30.3,74.6
Haryana,Hisar,603289,51.13,Bharatiya Janata Party,BRIJENDRA SINGH,30.3,74.6
Haryana,Karnal,911594,70.08,Bharatiya Janata Party,Sanjay Bhatia,30.3,74.6
Haryana,Kurukshetra,688629,55.98,Bharatiya Janata Party,NAYAB SINGH,30.3,74.6
Haryana,Rohtak,573845,47.01,Bharatiya Janata Party,ARVIND KUMAR SHARMA,30.3,74.6
Haryana,Sirsa,714351,52.16,Bharatiya Janata Party,Sunita Duggal,30.3,74.6
Haryana,Sonipat,587664,52.03,Bharatiya Janata Party,RAMESH CHANDER KAUSHIK,30.3,74.6
Himachal Pradesh,Hamirpur,682692,69.04,Bharatiya Janata Party,ANURAG SINGH THAKUR,32.483333,75.166666
Himachal Pradesh,Kangra,725218,72.02,Bharatiya Janata Party,Kishan Kapoor,32.483333,75.166666
Himachal Pradesh,Mandi,647189,68.75,Bharatiya Janata Party,RAM SWAROOP SHARMA,32.483333,75.166666
Himachal Pradesh,Shimla,606183,66.35,Bharatiya Janata Party,SURESH KUMAR KASHYAP,32.483333,75.166666
Jammu & Kashmir,Anantnag,40180,32.17,Jammu & Kashmir National Conference,HASNAIN MASOODI,32.733333,74.9
Jammu & Kashmir,Baramulla,133426,29.29,Jammu & Kashmir National Conference,MOHAMMAD AKBAR LONE,32.733333,74.9
Jammu & Kashmir,Jammu,858066,58.02,Bharatiya Janata Party,Jugal Kishore,32.733333,74.9
Jammu & Kashmir,Ladakh,42914,33.94,Bharatiya Janata Party,Jamyang Tsering Namgyal,32.733333,74.9
Jammu & Kashmir,Srinagar,106750,57.14,Jammu & Kashmir National Conference,Farooq Abdullah,32.733333,74.9
Jammu & Kashmir,Udhampur,724311,61.38,Bharatiya Janata Party,DR. JITENDRA SINGH,32.733333,74.9
Jharkhand,Chatra,528077,57.03,Bharatiya Janata Party,SUNIL KUMAR SINGH,23.75,85.5
Jharkhand,Dhanbad,827234,66.03,Bharatiya Janata Party,PASHUPATI NATH SINGH,23.75,85.5
Jharkhand,Dumka,484923,47.26,Bharatiya Janata Party,SUNIL SOREN,23.75,85.5
Jharkhand,Giridih,648277,58.57,AJSU Party,Chandra Prakash Choudhary,23.75,85.5
