State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Bihar,Jahanabad,335584,40.82,Janata Dal (United),CHANDESHWAR PRASAD,25.2133,84.9853
Bihar,Jamui (SC),529134,55.75,Lok Jan Shakti Party,CHIRAG KUMAR PASWAN,25.3548,84.918
Bihar,Jhanjharpur,602391,56.8,Janata Dal (United),Ramprit Mandal,26.262,86.2769
Bihar,Karakat,398408,45.86,Janata Dal (United),MAHABALI SINGH,25.1803,84.2852
Bihar,Katihar,559423,50.05,Janata Dal (United),DULAL CHANDRA GOSWAMI,25.5541,87.5591
Bihar,Khagaria,510193,52.77,Lok Jan Shakti Party,Choudhary Mehboob Ali Kaiser,25.5045,86.4701
Bihar,Kishanganj,367017,33.32,Indian National Congress,Dr. Mohammad Jawed,26.0982,87.945
Bihar,Madhepura,624334,54.42,Janata Dal (United),Dinesh Chandra Yadav,25.924,86.7946
Bihar,Madhubani,595843,61.83,Bharatiya Janata Party,ASHOK KUMAR YADAV,26.3483,86.0712
Bihar,Maharajganj,546352,56.17,Bharatiya Janata Party,Janardan Singh Sigriwal,26.1112,84.5039
Bihar,Munger,528762,51.03,Janata Dal (United),RAJIV RANJAN SINGH ALIAS LALAN SINGH,25.3708,86.4734
Bihar,Muzaffarpur,666878,63.03,Bharatiya Janata Party,Ajay Nishad,26.1197,85.391
Bihar,Nalanda,540888,52.45,Janata Dal (United),Kaushlendra Kumar,25.2622,85.4788
Bihar,Nawada,495684,52.59,Lok Jan Shakti Party,Chandan Singh,24.8867,85.5435
Bihar,Paschim Champaran,603706,59.6,Bharatiya Janata Party,DR. SANJAY JAISWAL,27.1543,84.3542
Bihar,Pataliputra,509557,47.28,Bharatiya Janata Party,RAM KRIPAL YADAV,25.5941,85.1376
Bihar,Patna Sahib,607506,61.85,Bharatiya Janata Party,RAVI SHANKAR PRASAD,25.596,85.2299
Bihar,Purnia,632924,54.85,Janata Dal (United),SANTOSH KUMAR,25.7771,87.4753
Bihar,Purvi Champaran,577787,57.81,Bharatiya Janata Party,RADHA MOHAN SINGH,26.6098,84.8568
Bihar,Samastipur (SC),562443,55.19,Lok Jan Shakti Party,Ramchandra Paswan,25.2237,85.8294
Bihar,Saran,499342,53.03,Bharatiya Janata Party,Rajiv Pratap Rudy,25.856,84.8568
Bihar,Sasaram (SC),494800,50.76,Bharatiya Janata Party,CHHEDI PASWAN,24.9636,83.7624
Bihar,Sheohar,608678,60.59,Bharatiya Janata Party,RAMA DEVI,26.5146,85.2942
Bihar,Sitamarhi,567745,54.65,Janata Dal (United),Sunil Kumar Pintu,26.5887,85.5013
Bihar,Siwan,448473,45.54,Janata Dal (United),Kavita Singh,26.2243,84.36
Bihar,Supaul,597377,53.78,Janata Dal (United),Dileshwar Kamait,26.1234,86.6045
Bihar,Ujiarpur,543906,56.11,Bharatiya Janata Party,Nityanand Rai,25.4533,83.9665
Bihar,Vaishali,568215,52.87,Lok Jan Shakti Party,Veena Devi,25.6838,85.355
Bihar,Valmiki Nagar,602660,58.39,Janata Dal (United),BAIDYANATH PRASAD MAHTO,27.4266,83.9074
Chandigarh,CHANDIGARH,231188,50.64,Bharatiya Janata Party,KIRRON KHER,30.7333,76.7794
Chhattisgarh,BASTAR,402527,44.1,Indian National Congress,DEEPAK BAIJ,19.1071,81.9535
Chhattisgarh,BILASPUR,634559,52.47,Bharatiya Janata Party,ARUN SAO,22.0797,82.1409
Chhattisgarh,DURG,849374,61.02,Bharatiya Janata Party,VIJAY BAGHEL,21.1904,81.2849
